No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
144,WISEA J103617.53-273013.2,10h36m17.5340s,-27d30m13.246s,159.0730584,-27.5036797,0.0102340002,3068.07607513049,SUN,G,"IR,UV",5.77855332133841,3,0,16,4,1,0,0,0,0,0
145,Hydra Cluster:[IHD2023] UDG 21,10h36m54.1700s,-27d36m55.070s,159.225708333333,-27.6152972222222,0.0116380512814635,3488.99999999999,UUN,G,,5.78957315647319,3,0,0,2,2,0,0,0,0,0
146,NGC 3311:[MMH2011] 105,10h36m57.1000s,-27d36m38.400s,159.23791666667,-27.61066666667,0.00923,2767.08438734,UUN,,Vis,5.8673116480554,2,0,2,2,2,0,0,0,0,0
147,HCC 075,10h36m22.9000s,-27d35m41.500s,159.09541666667,-27.59486111111,0.0111810684710421,3352.00000000001,UUN,G,,5.92367869997031,3,0,2,2,1,0,0,0,0,0
148,HCC 053,10h37m03.7000s,-27d35m47.700s,159.26541666667,-27.59658333333,0.0111810684710421,3352.00000000001,UUN,G,,6.18764411098205,3,0,2,2,1,0,0,0,0,0
149,WISEA J103627.51-272630.7,10h36m27.5135s,-27d26m30.710s,159.1146396,-27.4418641,0.012569,3768.091404602,SUN,G,IR,6.19934192396906,3,0,18,4,1,0,0,0,0,0
150,WISEA J103643.03-272529.8,10h36m43.0362s,-27d25m29.878s,159.1793176,-27.4249662,0.013132,3936.874558456,UUN,G,IR,6.21744904180921,7,0,16,3,2,0,1,1,0,0
151,NGC 3311:[MMH2011] HUCD 06,10h36m43.9000s,-27d37m57.300s,159.18291666667,-27.63258333333,0.013276,3980.044672408,UUN,,Vis,6.24556911485125,3,0,3,3,3,0,0,0,0,0
152,HCC 048,10h37m11.3000s,-27d31m30.300s,159.29708333333,-27.52508333333,0.009593,2875.909049594,UUN,G,,6.34184119884143,4,0,2,2,2,0,0,0,0,0
153,NGC 3311:[MMH2011] HUCD 33,10h36m43.4000s,-27d25m20.900s,159.18083333333,-27.42247222222,0.014066,4216.880714228,UUN,,Vis,6.36850584588383,3,0,2,3,3,0,0,0,0,0
154,Hydra Cluster:[IHD2023] UDG 13,10h36m14.4900s,-27d30m26.600s,159.060375,-27.5073888888889,0.0114245702605367,3425.0,UUN,G,,6.38476000272059,3,0,0,2,2,0,0,0,0,0
155,HCC 043,10h36m40.6000s,-27d25m19.100s,159.16916666667,-27.42197222222,0.0111810684710421,3352.00000000001,UUN,G,,6.41376421390061,3,0,2,2,1,0,0,0,0,0
156,WISEA J103613.53-273155.3,10h36m13.5305s,-27d31m55.394s,159.0563771,-27.5320541,0.0144199999,4323.00721438075,SUN,G,IR,6.47219974445754,3,0,12,3,1,0,0,1,0,0
157,WISEA J103617.15-272829.3,10h36m17.1560s,-27d28m29.339s,159.0714837,-27.4748165,0.0127689997,3828.04980626426,SUN,G,IR,6.52051036692828,2,0,12,3,1,0,0,0,0,0
158,NGC 3311:[MMH2011] HUCD 32,10h36m57.3000s,-27d26m01.100s,159.23875,-27.43363888889,0.010988,3294.119528504,UUN,,Vis,6.55158230113369,3,0,2,3,3,0,0,0,0,0
159,NGC 3311:[MMH2011] 056,10h36m40.9000s,-27d25m09.000s,159.17041666667,-27.41916666667,0.011471,3438.919285718,UUN,,Vis,6.57726395732767,2,0,2,2,2,0,0,0,0,0
160,ABELL 1060:[CZ2003]C0295H[107],10h37m09.4200s,-27d28m49.300s,159.28925,-27.48036111111,0.00917300023,2749.99628618627,SUN,G,,6.5917088314334,1,0,0,1,1,0,0,0,0,0
161,HCC 039,10h36m38.8000s,-27d25m07.900s,159.16166666667,-27.41886111111,0.0111810684710421,3352.00000000001,UUN,G,,6.6402121411832,4,0,2,3,1,0,0,0,0,0
162,ABELL 1060:[CZ2003]B0393[098],10h37m09.0400s,-27d28m19.700s,159.28766666667,-27.47213888889,0.00831899978,2493.97339214766,SUN,G,,6.74983465361351,2,0,0,1,1,0,0,0,0,0
163,NGC 3311:[MMH2011] 081,10h37m03.7000s,-27d26m42.000s,159.26541666667,-27.445,0.012205,3658.96694989,UUN,,Vis,6.84255933032298,2,0,2,2,2,0,0,0,0,0
164,HCC 059,10h37m12.5000s,-27d29m52.300s,159.30208333333,-27.49786111111,0.0111810684710421,3352.00000000001,UUN,G,,6.85760859949143,3,0,2,2,1,0,0,0,0,0
165,NGC 3311:[MMH2011] 060,10h36m50.0000s,-27d38m27.500s,159.20833333333,-27.64097222222,0.011781,3531.854947698,UUN,,Vis,6.9341066378019,2,0,2,2,2,0,0,0,0,0
166,HCC 025,10h37m13.7000s,-27d30m25.200s,159.30708333333,-27.507,0.009603,2878.906974174,UUN,G,,6.99197630461419,6,0,4,2,2,0,1,1,0,0
167,NGC 3308,10h36m22.3365s,-27d26m17.308s,159.093069,-27.4381411,0.0118549997,3554.03949965226,SUN,G,"IR,UV,Xray",7.06148292069826,102,4,97,23,24,21,11,18,4,0
168,NGC 3311:[MMH2011] 098,10h36m58.2000s,-27d25m30.200s,159.2425,-27.42505555556,0.016982,5091.075521756,UUN,,Vis,7.09849582148289,2,0,2,2,2,0,0,0,0,0
169,NGC 3311:[MMH2011] HUCD 20,10h36m14.0000s,-27d27m56.400s,159.05833333333,-27.46566666667,0.010421,3124.137204818,UUN,,Vis,7.4017100777461,3,0,3,3,3,0,0,0,0,0
170,PGC1 0031478 NED115,10h36m38.9165s,-27d39m07.688s,159.16215223978,-27.65213566299,0.008546,2562.026346068,SUN,G,,7.46063756903393,7,0,0,3,2,0,0,0,1,0
171,NGC 3311:[MMH2011] HUCD 28,10h36m52.9000s,-27d24m33.100s,159.22041666667,-27.40919444444,0.008886,2663.955781788,UUN,,Vis,7.51147723833506,3,0,2,3,3,0,0,0,0,0
172,HCC 070,10h36m47.3000s,-27d24m13.200s,159.19708333333,-27.40366666667,0.0111810684710421,3352.00000000001,UUN,G,,7.56383963368773,4,0,2,3,1,0,0,0,0,0
173,NGC 3311:[MMH2011] HUCD 02,10h36m19.4000s,-27d26m05.900s,159.08083333333,-27.43497222222,0.011831,3546.844570598,UUN,,Vis,7.63380073697285,3,0,3,3,3,0,0,0,0,0
174,NGC 3311:[MMH2011] HUCD 07,10h36m42.1000s,-27d24m03.500s,159.17541666667,-27.40097222222,0.013296,3986.040521568,UUN,,Vis,7.65786222645389,3,0,2,3,3,0,0,0,0,0
175,WISEA J103618.73-273718.2,10h36m18.7337s,-27d37m18.202s,159.0780574,-27.621723,0.0118115046109666,3541.00000000001,UUN,G,IR,7.71100658384805,5,0,12,5,3,0,0,0,0,0
176,NGC 3311:[MMH2011] 096,10h36m45.5000s,-27d23m49.700s,159.18958333333,-27.39713888889,0.011912,3571.127759696,UUN,,Vis,7.91091312009389,2,0,2,2,2,0,0,0,0,0
177,NGC 3311:[MMH2011] HUCD 38,10h36m07.2000s,-27d32m51.400s,159.03,-27.54761111111,0.012745,3820.85487721,UUN,,Vis,7.95407022738715,3,0,3,3,3,0,0,0,0,0
178,HCC 036,10h36m41.3000s,-27d23m36.700s,159.17208333333,-27.39352777778,0.0111810684710421,3352.00000000001,UUN,G,,8.10936764064031,4,0,2,3,1,0,0,0,0,0
179,WISEA J103610.98-272714.9,10h36m10.9877s,-27d27m14.988s,159.0457822,-27.4541635,0.016311,4889.914782438,SUN,G,"IR,UV",8.33245744013025,33,0,31,14,9,2,2,2,2,0
180,ESO 501- G 047,10h37m17.0493s,-27d28m07.899s,159.321039,-27.468861,0.016088,4823.061064304,SUN,G,"IR,UV,Xray",8.41590974602634,37,3,24,10,11,16,3,6,3,0
181,ESO 501- G 049,10h37m19.9896s,-27d33m34.092s,159.33329,-27.55947,0.013436,4028.011465688,SUN,G,"IR,UV",8.46879456220432,53,1,23,15,17,16,4,7,4,1
182,WISEA J103649.07-272319.6,10h36m49.0802s,-27d23m19.240s,159.204501,-27.388678,0.014884,4462.110944872,SUN,G,"IR,UV",8.51243768309,24,0,33,12,9,2,1,0,2,0
183,WISEA J103717.31-273533.8,10h37m17.3105s,-27d35m33.851s,159.3221273,-27.5927365,0.012342,3700.038516636,UUN,G,IR,8.58036396938517,8,0,16,4,2,0,1,1,0,0
184,WISEA J103604.26-273031.9,10h36m04.2615s,-27d30m31.921s,159.0177563,-27.5088671,0.007682,2303.005662356,UUN,G,"IR,UV",8.60629493219642,42,3,31,14,14,4,3,4,2,0
