ra,dec,name,color,radius
184.8342,5.4668,,red,5.0
184.8361,6.7051,,red,5.0
184.8381,4.7733,,red,5.0
184.8423,5.9109,,red,5.0
184.8425,5.3764,,red,5.0
184.8434,6.0996,,red,5.0
184.8462,5.795,,red,5.0
184.847,5.8249,,red,5.0
184.8473,19.5873,,red,5.0
184.8492,6.2331,,red,5.0
184.8586,13.3103,,red,5.0
184.8654,4.5785,,red,5.0
184.8658,5.0475,,red,5.0
184.8688,6.273,,red,5.0
184.8695,17.2305,,red,5.0
184.899,5.8468,,red,5.0
184.9043,15.1621,,red,5.0
184.9139,7.1197,,red,5.0
184.9386,12.7982,,red,5.0
184.9389,6.006,,red,5.0
184.9467,5.2837,,red,5.0
184.9548,5.185,,red,5.0
184.9713,1.7733,,red,5.0
184.9738,6.0323,,red,5.0
184.9833,5.3424,,red,5.0
185.0137,14.9615,,red,5.0
185.0144,6.0105,,red,5.0
185.0155,5.3413,,red,5.0
185.0166,5.4147,,red,5.0
185.0308,7.6907,,red,5.0
185.0356,9.4678,,red,5.0
185.0479,1.9586,,red,5.0
185.0508,6.6232,,red,5.0
185.0579,5.0186,,red,5.0
185.0673,5.0392,,red,5.0
185.0724,4.2015,,red,5.0
185.0784,9.5454,,red,5.0
185.084,9.7971,,red,5.0
185.0912,12.1877,,red,5.0
185.0966,6.135,,red,5.0
185.0972,13.898,,red,5.0
185.1012,5.5729,,red,5.0
185.1055,6.9088,,red,5.0
185.1162,1.4683,,red,5.0
185.1288,6.64,,red,5.0
185.1413,0.7879,,red,5.0
185.146,5.8076,,red,5.0
185.1515,12.8848,,red,5.0
185.1611,5.9089,,red,5.0
185.1681,13.889,,red,5.0
185.183,14.6313,,red,5.0
185.2036,17.4872,,red,5.0
185.2036,5.9816,,red,5.0
185.2036,6.7236,,red,5.0
185.2129,7.0591,,red,5.0
185.2177,5.2322,,red,5.0
185.2274,3.4027,,red,5.0
185.2347,5.189,,red,5.0
185.2401,6.3399,,red,5.0
185.2507,12.726,,red,5.0
185.2653,7.0777,,red,5.0
185.27,11.7546,,red,5.0
185.275,11.5954,,red,5.0
185.2793,0.4613,,red,5.0
185.2976,17.6387,,red,5.0
185.3033,8.9633,,red,5.0
185.3061,18.3842,,red,5.0
185.3124,13.3465,,red,5.0
185.3139,5.3417,,red,5.0
185.3186,4.5958,,red,5.0
185.3242,11.5109,,red,5.0
185.3275,4.076,,red,5.0
185.33,16.6093,,red,5.0
185.3302,3.7877,,red,5.0
185.3438,5.9477,,red,5.0
185.3711,8.1511,,red,5.0
185.3778,12.6542,,red,5.0
185.388,14.6055,,red,5.0
185.3921,4.7794,,red,5.0
185.4041,5.7658,,red,5.0
185.4101,8.7766,,red,5.0
185.4115,15.7451,,red,5.0
185.4138,7.2539,,red,5.0
185.4149,4.3927,,red,5.0
185.4196,11.5017,,red,5.0
185.4228,5.385,,red,5.0
185.4233,15.0753,,red,5.0
185.426,14.5992,,red,5.0
185.4358,9.2367,,red,5.0
185.4462,5.9891,,red,5.0
185.4501,12.8267,,red,5.0
185.4587,9.7391,,red,5.0
185.4597,8.5417,,red,5.0
185.4736,15.6459,,red,5.0
185.4777,4.4739,,red,5.0
185.4812,6.4519,,red,5.0
185.4818,11.9672,,red,5.0
185.4828,17.6813,,red,5.0
185.4896,8.6749,,red,5.0
185.4905,2.3452,,red,5.0
185.5053,5.1,,red,5.0
185.5151,12.7411,,red,5.0
185.5172,12.7875,,red,5.0
185.5193,7.7394,,red,5.0
185.5234,9.0437,,red,5.0
185.527,6.7826,,red,5.0
185.5324,15.7991,,red,5.0
185.5359,9.8945,,red,5.0
185.5457,4.9518,,red,5.0
185.5517,7.1443,,red,5.0
185.5614,7.1671,,red,5.0
185.5814,6.928,,red,5.0
185.5814,14.7607,,red,5.0
185.5817,15.7336,,red,5.0
185.6013,15.4711,,red,5.0
185.6136,4.5664,,red,5.0
185.6303,15.5379,,red,5.0
185.6305,7.1189,,red,5.0
185.632,11.8026,,red,5.0
185.6486,24.0851,,red,5.0
185.649,12.1576,,red,5.0
185.6575,8.2964,,red,5.0
185.6599,11.8013,,red,5.0
185.6601,6.0141,,red,5.0
185.6625,6.6773,,red,5.0
185.6713,7.9503,,red,5.0
185.6759,9.3327,,red,5.0
185.6804,8.1983,,red,5.0
185.6816,5.4563,,red,5.0
185.7009,7.9138,,red,5.0
185.7119,13.5928,,red,5.0
185.7198,6.6797,,red,5.0
185.7282,15.8259,,red,5.0
185.7344,7.7331,,red,5.0
185.7359,2.747,,red,5.0
185.7487,8.0309,,red,5.0
185.7572,15.9054,,red,5.0
185.7636,5.786,,red,5.0
185.7701,8.3336,,red,5.0
185.7808,13.7446,,red,5.0
185.79,11.726,,red,5.0
185.7913,0.4267,,red,5.0
185.8206,11.3678,,red,5.0
185.8266,5.6071,,red,5.0
185.8331,7.0681,,red,5.0
185.8334,15.8203,,red,5.0
185.8385,15.8682,,red,5.0
185.8474,1.8149,,red,5.0
185.8683,5.8166,,red,5.0
185.8741,19.4267,,red,5.0
185.8749,2.0081,,red,5.0
185.8824,17.7946,,red,5.0
185.9065,17.5414,,red,5.0
185.9115,6.9542,,red,5.0
185.9125,7.054,,red,5.0
185.9289,18.6619,,red,5.0
185.9336,12.4775,,red,5.0
185.9519,7.1873,,red,5.0
185.9568,18.4556,,red,5.0
185.958,6.0598,,red,5.0
185.9691,13.8825,,red,5.0
185.9728,7.1071,,red,5.0
185.9748,-3.443,,red,5.0
185.9759,3.0852,,red,5.0
185.9905,12.8871,,red,5.0
185.9907,11.8923,,red,5.0
185.9926,7.4503,,red,5.0
186.0013,7.7851,,red,5.0
186.0054,12.2042,,red,5.0
186.0081,16.8393,,red,5.0
186.0131,5.1805,,red,5.0
186.0168,17.5495,,red,5.0
186.0207,11.2181,,red,5.0
186.0209,8.294,,red,5.0
186.022,10.0677,,red,5.0
186.0231,7.0414,,red,5.0
186.0317,6.6074,,red,5.0
186.0521,11.5294,,red,5.0
186.0577,7.1751,,red,5.0
186.0585,18.6894,,red,5.0
186.0605,4.226,,red,5.0
186.092,21.1602,,red,5.0
186.1088,7.1135,,red,5.0
186.1161,7.3157,,red,5.0
186.1304,6.488,,red,5.0
186.1335,8.6375,,red,5.0
186.1472,6.033,,red,5.0
186.164,3.9956,,red,5.0
186.1647,8.5042,,red,5.0
186.1674,3.3031,,red,5.0
186.1721,3.7214,,red,5.0
186.1958,7.3529,,red,5.0
186.1981,14.5763,,red,5.0
186.199,8.9914,,red,5.0
186.2015,18.1951,,red,5.0
186.2065,6.7596,,red,5.0
186.2148,13.111,,red,5.0
186.221,9.4931,,red,5.0
186.2254,7.5569,,red,5.0
186.2286,16.8108,,red,5.0
186.2292,7.4444,,red,5.0
186.2338,11.8321,,red,5.0
186.2624,7.5038,,red,5.0
186.2645,13.2447,,red,5.0
186.2653,12.8877,,red,5.0
186.2658,17.0155,,red,5.0
186.2677,15.7113,,red,5.0
186.2734,5.3291,,red,5.0
186.2843,6.8906,,red,5.0
186.2863,4.4142,,red,5.0
186.3049,13.0255,,red,5.0
186.3133,12.7146,,red,5.0
186.3201,11.6053,,red,5.0
186.3231,14.1726,,red,5.0
186.3256,5.7411,,red,5.0
186.34,16.43,,red,5.0
186.3401,13.0704,,red,5.0
186.3423,10.0167,,red,5.0
186.3465,14.8033,,red,5.0
186.3498,18.1893,,red,5.0
186.3561,16.4699,,red,5.0
186.3502,18.14,,red,5.0
186.3691,12.6364,,red,5.0
186.3712,13.4987,,red,5.0
186.3813,11.1584,,red,5.0
186.3877,12.2607,,red,5.0
186.3897,13.2273,,red,5.0
186.3952,15.1944,,red,5.0
186.3972,5.381,,red,5.0
186.4004,15.8474,,red,5.0
186.4018,15.8301,,red,5.0
186.4048,13.1437,,red,5.0
186.4114,14.1509,,red,5.0
186.4118,7.7323,,red,5.0
186.4122,12.3138,,red,5.0
186.4151,10.5834,,red,5.0
186.422,2.1591,,red,5.0
186.4222,13.0477,,red,5.0
186.4238,12.8099,,red,5.0
186.427,7.2181,,red,5.0
186.4361,13.0221,,red,5.0
186.4442,12.6629,,red,5.0
186.4478,14.9527,,red,5.0
186.4606,13.1976,,red,5.0
186.4608,10.459,,red,5.0
186.4635,7.7875,,red,5.0
186.4686,5.8094,,red,5.0
186.4758,7.5548,,red,5.0
186.4819,18.2145,,red,5.0
186.4822,12.7697,,red,5.0
186.4838,7.2347,,red,5.0
186.4913,10.0538,,red,5.0
186.4926,3.4299,,red,5.0
186.4955,15.2771,,red,5.0
186.4986,15.6695,,red,5.0
186.5036,7.4553,,red,5.0
186.5224,11.8123,,red,5.0
186.5236,12.5596,,red,5.0
186.5279,12.8611,,red,5.0
186.5296,16.181,,red,5.0
186.5306,13.1125,,red,5.0
186.5397,13.6731,,red,5.0
186.5496,12.9441,,red,5.0
186.5503,-1.3036,,red,5.0
186.5579,3.8371,,red,5.0
186.5748,1.7417,,red,5.0
186.5768,8.3495,,red,5.0
186.5805,1.0202,,red,5.0
186.5837,12.5103,,red,5.0
186.5898,6.6695,,red,5.0
186.595,-1.2554,,red,5.0
186.6023,4.3168,,red,5.0
186.6039,10.582,,red,5.0
186.6089,16.5231,,red,5.0
186.6343,12.6108,,red,5.0
186.635,13.5788,,red,5.0
186.6384,12.743,,red,5.0
186.6465,9.9833,,red,5.0
186.6499,3.965,,red,5.0
186.6621,16.7176,,red,5.0
186.6659,12.5136,,red,5.0
186.6687,8.4357,,red,5.0
186.6738,18.1371,,red,5.0
186.6833,10.9046,,red,5.0
186.6847,8.8239,,red,5.0
186.6851,11.3797,,red,5.0
186.6945,7.9187,,red,5.0
186.6961,12.454,,red,5.0
186.6963,8.8847,,red,5.0
186.6998,7.6715,,red,5.0
186.7106,11.5589,,red,5.0
186.7103,9.5844,,red,5.0
186.7117,13.1772,,red,5.0
186.7265,11.6638,,red,5.0
186.7267,18.3937,,red,5.0
186.7273,10.6658,,red,5.0
186.7276,-0.8776,,red,5.0
186.7282,13.5661,,red,5.0
186.7318,9.8824,,red,5.0
186.7348,15.0476,,red,5.0
186.7436,2.4944,,red,5.0
186.7474,14.7826,,red,5.0
186.7606,15.4616,,red,5.0
186.7629,12.5607,,red,5.0
186.769,-0.9069,,red,5.0
186.7887,5.8834,,red,5.0
186.7913,8.3899,,red,5.0
186.7968,12.0382,,red,5.0
186.7972,15.8971,,red,5.0
186.7987,9.4206,,red,5.0
186.7999,8.8402,,red,5.0
186.8032,17.821,,red,5.0
186.8034,7.6398,,red,5.0
186.8056,12.7348,,red,5.0
186.8157,4.2636,,red,5.0
186.8206,16.0244,,red,5.0
186.8234,7.6701,,red,5.0
186.8279,8.2128,,red,5.0
186.8349,16.4284,,red,5.0
